id,booking_id,line_no,type_id,session_date,start_time,end_time,duration_minutes,hourly_rate,session_cost,notes
1,BK-2026-000001,1,1,2026-01-16,09:00:00,10:30:00,90,900.00,1350.00,Beginner intro – focus on stance
2,BK-2026-000002,1,2,2026-02-11,07:00:00,08:30:00,90,1200.00,1800.00,Squat & Deadlift form check
3,BK-2026-000002,2,2,2026-02-13,07:00:00,08:00:00,60,1200.00,1200.00,Bench press progression
4,BK-2026-000002,3,2,2026-02-18,07:00:00,08:30:00,90,1200.00,1800.00,Competition prep
5,BK-2026-000003,1,3,2026-02-16,10:00:00,11:00:00,60,800.00,800.00,Core & mobility
6,BK-2026-000003,2,3,2026-02-20,10:00:00,11:00:00,60,800.00,800.00,Upper body strength
7,BK-2026-000004,1,1,2026-03-06,08:00:00,09:30:00,90,900.00,1350.00,Combo kick drills
8,BK-2026-000005,1,4,2026-03-11,09:00:00,10:00:00,60,700.00,700.00,Flexibility assessment
9,BK-2026-000005,2,4,2026-03-14,09:00:00,10:00:00,60,700.00,700.00,Vinyasa flow
10,BK-2026-000006,1,7,2026-01-21,08:00:00,09:00:00,60,950.00,950.00,Jab-cross combo drills
11,BK-2026-000006,2,7,2026-01-23,08:00:00,09:00:00,60,950.00,950.00,Defensive footwork
12,BK-2026-000007,1,4,2026-02-02,09:00:00,10:00:00,60,700.00,700.00,Balance & breathing
13,BK-2026-000007,2,4,2026-02-05,09:00:00,10:00:00,60,700.00,700.00,Flexibility flow
14,BK-2026-000008,1,9,2026-02-11,07:00:00,08:00:00,60,1000.00,1000.00,WOD assessment
15,BK-2026-000008,2,9,2026-02-14,07:00:00,08:30:00,90,1000.00,1500.00,AMRAP & EMOM drills
16,BK-2026-000009,1,3,2026-02-19,10:00:00,11:00:00,60,800.00,800.00,TRX core training
17,BK-2026-000010,1,1,2026-03-02,18:00:00,19:30:00,90,900.00,1350.00,Teep & roundhouse
18,BK-2026-000011,1,2,2026-03-06,06:30:00,08:00:00,90,1200.00,1800.00,Shoulder hypertrophy
19,BK-2026-000012,1,8,2026-03-09,07:00:00,08:00:00,60,1100.00,1100.00,Chest & back split
20,BK-2026-000013,1,5,2026-03-11,17:00:00,18:00:00,60,750.00,750.00,Fat burn cardio
21,BK-2026-000014,1,10,2026-03-13,09:00:00,10:00:00,60,650.00,650.00,Post-injury stretch
22,BK-2026-000015,1,9,2026-03-15,06:00:00,07:00:00,60,1000.00,1000.00,Intro CrossFit
23,BK-2026-000016,1,7,2026-01-26,19:00:00,20:00:00,60,950.00,950.00,Sparring basics
24,BK-2026-000017,1,9,2026-02-07,07:00:00,08:30:00,90,1000.00,1500.00,Benchmark WOD
25,BK-2026-000018,1,2,2026-02-23,06:30:00,08:00:00,90,1200.00,1800.00,Back day focus
26,BK-2026-000019,1,3,2026-03-04,10:00:00,11:00:00,60,800.00,800.00,Full body mobility
27,BK-2026-000020,1,8,2026-03-19,08:00:00,09:30:00,90,1100.00,1650.00,Leg & glute focus
