id,purchase_id,line_no,equipment_name,category_id,quantity,unit_cost,warranty_months,extended_cost
1,EPO-2026-000001,1,Treadmill Life Fitness T4,1,2,45000.00,24,90000.00
2,EPO-2026-000001,2,Foam Roller 90cm (x10),5,10,800.00,0,8000.00
3,EPO-2026-000001,3,Resistance Band Set PRO,4,5,650.00,6,3250.00
4,EPO-2026-000002,1,Dumbbell Set 5–50kg New,3,1,28000.00,12,28000.00
5,EPO-2026-000002,2,Olympic Barbell 20kg,3,3,4500.00,12,13500.00
6,EPO-2026-000002,3,Weight Plate 20kg (x10),3,10,800.00,0,8000.00
7,EPO-2026-000003,1,Stationary Bike Upright UB-600,1,3,18000.00,24,54000.00
8,EPO-2026-000003,2,Heart Rate Monitor Set x10,4,10,1200.00,12,12000.00
9,EPO-2026-000004,1,Functional Trainer FT-200,2,1,120000.00,36,120000.00
10,EPO-2026-000004,2,Battle Rope 15m x2,3,2,3500.00,6,7000.00
11,EPO-2026-000005,1,Sandbag 20kg x5,3,5,1800.00,0,9000.00
12,EPO-2026-000005,2,Agility Ladder Set,4,3,900.00,0,2700.00
13,EPO-2026-000005,3,Plyometric Box Set,4,2,4500.00,12,9000.00
14,EPO-2026-000006,1,Boxing Gloves 16oz x10 pairs,3,10,1500.00,6,15000.00
15,EPO-2026-000006,2,Heavy Bag 100lb x2,3,2,8500.00,12,17000.00
16,EPO-2026-000006,3,Speed Bag Platform x1,3,1,6000.00,12,6000.00
17,EPO-2026-000007,1,Barbell Collar Pair x5,3,5,800.00,0,4000.00
18,EPO-2026-000007,2,Weight Plate 5kg x20,3,20,500.00,0,10000.00
19,EPO-2026-000008,1,Stretching Strap x15,4,15,350.00,0,5250.00
20,EPO-2026-000008,2,Pilates Ring x10,4,10,600.00,0,6000.00
21,EPO-2026-000009,1,Resistance Band Pro x20,4,20,450.00,6,9000.00
22,EPO-2026-000009,2,Balance Disc x10,4,10,700.00,6,7000.00
23,EPO-2026-000010,1,Concept2 RowErg D,1,2,38000.00,24,76000.00
24,EPO-2026-000010,2,PM5 Monitor Replacement x2,1,2,4500.00,12,9000.00
25,EPO-2026-000011,1,Jump Rope Set,1,10,350.00,6,3500.00
26,EPO-2026-000011,2,Agility Ladder,1,5,450.00,6,2250.00
27,EPO-2026-000012,1,Smith Machine,2,1,55000.00,24,55000.00
28,EPO-2026-000012,2,Dip Station,2,2,8500.00,12,17000.00
29,EPO-2026-000013,1,Stationary Bike Pro,1,3,28000.00,24,84000.00
30,EPO-2026-000013,2,Heart Rate Monitor,1,10,1200.00,12,12000.00
31,EPO-2026-000014,1,Resistance Band Set,3,15,800.00,6,12000.00
32,EPO-2026-000014,2,Balance Board,3,5,2200.00,12,11000.00
33,EPO-2026-000015,1,Leg Press Machine,2,1,95000.00,36,95000.00
34,EPO-2026-000015,2,Cable Crossover,2,1,75000.00,36,75000.00
